model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,train_time,params
BERT (full),0.939,0.9156238541562688,0.8991516769882616,0.906855314034974,0.9386,174.28,109779846
LSTM,0.9375,0.9160383114307308,0.9022602802771172,0.908518052018137,0.9370325211457732,155.32,1131398
BiLSTM+Attention,0.9355,0.8931922715316695,0.907493949376662,0.899016817082405,0.9356525971236092,133.67,3049351
BiLSTM,0.9285,0.901775970700576,0.8920732144298483,0.8952604897530358,0.92838542242479,161.01,2786182
RNN,0.902,0.8600077934404786,0.8517772424086173,0.854255118438216,0.9015532017778846,134.86,88838
TF-IDF + SVM,0.8975,0.8742096975172484,0.860165794463684,0.8667455154271977,0.8969126599667654,0.646381139755249,0
CNN,0.894,0.866582918060634,0.8381229203059825,0.84854246522948,0.8918674784608759,24.14,1208198
Transformer,0.867,0.8553104876844543,0.8183651994904917,0.8343272083645751,0.8656186830475959,212.11,2219142
TF-IDF + LR,0.849,0.8670808837625699,0.7295918091894084,0.7777433309497712,0.8412742745960614,2.0897457599639893,0
TF-IDF + NB,0.673,0.8670474790501493,0.4255858928341172,0.4313925956496074,0.6073650466402203,0.0147037506103515,0
BERT (frozen),0.4975,0.1655330782759454,0.2628630211521458,0.20296073493134426,0.3852,76.98,297606
