model,class,precision,recall,f1,support
CNN,anger,0.8625429553264605,0.92619926199262,0.8932384341637011,271
CNN,fear,0.8967136150234741,0.8059071729957806,0.8488888888888889,237
CNN,joy,0.9014084507042254,0.9467455621301776,0.9235209235209236,676
CNN,love,0.8833333333333333,0.6463414634146342,0.7464788732394366,164
CNN,sadness,0.922165820642978,0.9396551724137931,0.9308283518360376,580
CNN,surprise,0.7333333333333333,0.7638888888888888,0.7482993197278912,72
RNN,anger,0.8936170212765957,0.9298892988929888,0.9113924050632912,271
RNN,fear,0.868995633187773,0.8396624472573839,0.8540772532188842,237
RNN,joy,0.933933933933934,0.9201183431952664,0.9269746646795828,676
RNN,love,0.7814207650273224,0.8719512195121951,0.8242074927953891,164
RNN,sadness,0.93631669535284,0.9379310344827586,0.9371231696813092,580
RNN,surprise,0.7457627118644068,0.6111111111111112,0.6717557251908397,72
LSTM,anger,0.906896551724138,0.970479704797048,0.9376114081996436,271
LSTM,fear,0.9224137931034484,0.9029535864978904,0.9125799573560768,237
LSTM,joy,0.9497784342688332,0.9511834319526628,0.950480413895048,676
LSTM,love,0.869281045751634,0.8109756097560976,0.8391167192429022,164
LSTM,sadness,0.9690721649484536,0.9724137931034482,0.9707401032702238,580
LSTM,surprise,0.8787878787878788,0.8055555555555556,0.8405797101449275,72
BiLSTM,anger,0.8931034482758621,0.955719557195572,0.9233511586452764,271
BiLSTM,fear,0.8930041152263375,0.9156118143459916,0.9041666666666668,237
BiLSTM,joy,0.9601837672281776,0.9275147928994084,0.9435665914221218,676
BiLSTM,love,0.8208092485549133,0.8658536585365854,0.8427299703264095,164
BiLSTM,sadness,0.9621993127147768,0.9655172413793104,0.963855421686747,580
BiLSTM,surprise,0.8813559322033898,0.7222222222222222,0.7938931297709924,72
BiLSTM+Attention,anger,0.906896551724138,0.970479704797048,0.9376114081996436,271
BiLSTM+Attention,fear,0.929245283018868,0.8312236286919831,0.8775055679287305,237
BiLSTM+Attention,joy,0.9610194902548724,0.948224852071006,0.95457930007446,676
BiLSTM+Attention,love,0.8511904761904762,0.8719512195121951,0.8614457831325302,164
BiLSTM+Attention,sadness,0.9758620689655172,0.9758620689655172,0.9758620689655172,580
BiLSTM+Attention,surprise,0.7349397590361446,0.8472222222222222,0.7870967741935484,72
Transformer,anger,0.8597785977859779,0.8597785977859779,0.8597785977859779,271
Transformer,fear,0.8297872340425532,0.8227848101265823,0.826271186440678,237
Transformer,joy,0.8614130434782609,0.9378698224852072,0.8980169971671388,676
Transformer,love,0.8837209302325582,0.6951219512195121,0.7781569965870307,164
Transformer,sadness,0.8971631205673759,0.8724137931034482,0.8846153846153846,580
Transformer,surprise,0.8,0.7222222222222222,0.7591240875912408,72
TF-IDF + LR,anger,0.8995433789954338,0.7269372693726938,0.8040816326530612,271
TF-IDF + LR,fear,0.8983050847457628,0.6708860759493671,0.7681159420289855,237
TF-IDF + LR,joy,0.7880952380952381,0.9792899408284024,0.8733509234828496,676
TF-IDF + LR,love,0.9285714285714286,0.5548780487804879,0.6946564885496184,164
TF-IDF + LR,sadness,0.8515007898894155,0.9293103448275862,0.8887056883759274,580
TF-IDF + LR,surprise,0.8181818181818182,0.375,0.5142857142857142,72
TF-IDF + SVM,anger,0.8897338403041825,0.8634686346863468,0.8764044943820225,271
TF-IDF + SVM,fear,0.8967136150234741,0.8059071729957806,0.8488888888888889,237
TF-IDF + SVM,joy,0.9038189533239038,0.9452662721893492,0.9240780911062908,676
TF-IDF + SVM,love,0.8571428571428571,0.8048780487804879,0.8301886792452831,164
TF-IDF + SVM,sadness,0.915682967959528,0.9362068965517242,0.9258312020460358,580
TF-IDF + SVM,surprise,0.8142857142857143,0.7916666666666666,0.8028169014084507,72
TF-IDF + NB,anger,0.9411764705882352,0.2952029520295203,0.449438202247191,271
TF-IDF + NB,fear,0.9705882352941176,0.2784810126582278,0.4327868852459016,237
TF-IDF + NB,joy,0.61090573012939,0.977810650887574,0.7519908987485779,676
TF-IDF + NB,love,1.0,0.024390243902439,0.0476190476190476,164
TF-IDF + NB,sadness,0.6780551905387647,0.8896551724137931,0.7695749440715883,580
TF-IDF + NB,surprise,0.0,0.0,0.0,72
BERT (full),anger,0.9550561797752808,0.940959409594096,0.9479553903345724,271
BERT (full),fear,0.9041666666666668,0.9156118143459916,0.909853249475891,237
BERT (full),joy,0.9511834319526628,0.9511834319526628,0.9511834319526628,676
BERT (full),love,0.84375,0.823170731707317,0.8333333333333334,164
BERT (full),sadness,0.9645868465430016,0.986206896551724,0.9752770673486786,580
BERT (full),surprise,0.875,0.7777777777777778,0.8235294117647058,72
BERT (frozen),anger,0.0,0.0,0.0,271
BERT (frozen),fear,0.0,0.0,0.0,237
BERT (frozen),joy,0.5566502463054187,0.8357988165680473,0.6682436428149024,676
BERT (frozen),love,0.0,0.0,0.0,164
BERT (frozen),sadness,0.4365482233502538,0.7413793103448276,0.549520766773163,580
BERT (frozen),surprise,0.0,0.0,0.0,72
